input_miR,query_variant,library_key,n_genes
hsa-miR-1248,hsa-miR-1248,hsa-miR-1248,163
hsa-miR-125a-5p,hsa-miR-125a-5p,hsa-miR-125a-5p,268
hsa-miR-1291,hsa-miR-1291,hsa-miR-1291,55
hsa-miR-1296-5p,hsa-miR-1296-5p,hsa-miR-1296-5p,120
hsa-miR-1306-3p,hsa-miR-1306-3p,hsa-miR-1306-3p,12
hsa-miR-15b-5p,hsa-miR-15b-5p,hsa-miR-15b-5p,759
hsa-miR-200b-3p,hsa-miR-200b-3p,hsa-miR-200b-3p,186
hsa-miR-210-5p,hsa-miR-210-5p,hsa-miR-210-5p,47
hsa-miR-224-5p,hsa-miR-224-5p,hsa-miR-224-5p,132
hsa-miR-3131,hsa-miR-3131,hsa-miR-3131,19
hsa-miR-3196,hsa-miR-3196,hsa-miR-3196,103
hsa-miR-339-5p,hsa-miR-339-5p,hsa-miR-339-5p,235
hsa-miR-3609,hsa-miR-3609,hsa-miR-3609,320
hsa-miR-3651,hsa-miR-3651,hsa-miR-3651,37
hsa-miR-3653,hsa-miR-3653,hsa-miR-3653-3p,130
hsa-miR-3960,hsa-miR-3960,hsa-miR-3960,54
hsa-miR-429,hsa-miR-429,hsa-miR-429,151
hsa-miR-4443,hsa-miR-4443,hsa-miR-4443,108
hsa-miR-4677-3p,hsa-miR-4677-3p,hsa-miR-4677-3p,74
hsa-miR-4679,hsa-miR-4679,hsa-miR-4679,69
hsa-miR-4746-5p,hsa-miR-4746-5p,hsa-miR-4746-5p,10
hsa-miR-4781-3p,hsa-miR-4781-3p,hsa-miR-4781-3p,207
hsa-miR-483-5p,hsa-miR-483-5p,hsa-miR-483-5p,143
hsa-miR-550a-3-5p,hsa-miR-550a-3-5p,hsa-miR-550a-3-5p,91
hsa-miR-569,hsa-miR-569,hsa-miR-569,64
hsa-miR-589-5p,hsa-miR-589-5p,hsa-miR-589-5p,71
hsa-miR-598-3p,hsa-miR-598-3p,hsa-miR-598-3p,25
hsa-miR-6805-3p,hsa-miR-6805-3p,hsa-miR-6805-3p,132
hsa-miR-6837-3p,hsa-miR-6837-3p,hsa-miR-6837-3p,97
hsa-miR-6850-3p,hsa-miR-6850-3p,hsa-miR-6850-3p,35
hsa-miR-6873-3p,hsa-miR-6873-3p,hsa-miR-6873-3p,390
hsa-miR-877-5p,hsa-miR-877-5p,hsa-miR-877-5p,235
hsa-miR-92a-1-5p,hsa-miR-92a-1-5p,hsa-miR-92a-1-5p,91
hsa-miR-92b-5p,hsa-miR-92b-5p,hsa-miR-92b-5p,62
hsa-miR-940,hsa-miR-940,hsa-miR-940,711
