Term,Adjusted P-value,P-value,Odds Ratio,Combined Score,Overlap,Genes,library,set_label
Graft-versus-host disease,8.215645715881218e-08,3.427015300645793e-10,15.727676767676767,342.7715231273354,12/42,IFNG;PRF1;GZMB;FASLG;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL2;KIR3DL3;KIR2DL3;HLA-G;KIR2DL5A,KEGG_2021_Human,PBMC_up
Natural killer cell mediated cytotoxicity,8.215645715881218e-08,8.660786997680779e-10,6.737393881733021,140.5895035642479,19/131,KIR2DS1;KIR2DS2;IFNB1;KIR2DS3;PRF1;KIR2DS5;SH2D1B;GZMB;FASLG;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL2;KIR3DL3;HLA-G;KIR2DL3;IFNG;IFNA10;KIR2DL5A,KEGG_2021_Human,PBMC_up
Antigen processing and presentation,8.215645715881218e-08,9.40722791894796e-10,9.402826171118852,195.43184271433756,15/78,KIR2DS1;KIR2DS2;KIR2DS3;KIR2DS5;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL2;KIR3DL3;HLA-G;KIR2DL3;KIR2DL4;IFNG;HSPA1B;KIR2DL5A,KEGG_2021_Human,PBMC_up
Cytokine-cytokine receptor interaction,0.00045892441432163466,7.006479607963888e-06,3.1935349873494205,37.9030294369382,22/295,CX3CR1;CXCL6;IL1RN;TGFB2;EDA;TNFSF14;CCL21;IFNB1;CCL3L3;FASLG;IL1RAP;IL2RG;IL17RC;PRLR;INHBC;INHBE;IFNL2;IFNG;IL9;CCL4;PF4;IFNA10,KEGG_2021_Human,PBMC_up
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,0.013208015028901,1.4840466324607925e-05,4.637081339712919,51.55577933180945,13/123,KIR2DS1;KIR2DS2;SH2D1B;KIR3DL1;KIR3DL2;KIR2DL2;CD3E;HLA-G;CD1B;KIR2DL3;KIR2DL4;TREML4;KLRF1,Reactome_2022,PBMC_up
Positive Regulation Of Cellular Process (GO:0048522),0.0750073805305754,5.615729491831267e-05,2.2693088593369546,22.21052906636171,32/594,YAP1;SMARCD1;TNXB;DDX3X;TTK;FOXM1;FGF7;POFUT2;ADGRG1;PDGFD;ERBB2;HAS2;ZNF268;NTRK2;TGFB2;SMARCC2;CCL21;FN1;IGF2;AKR1C3;NRG1;MAPK15;POU4F2;EREG;TJP1;FRMD5;IFNG;BAMBI;IL9;SLC25A33;S100A9;NOX1,GO_Biological_Process_2023,PBMC_up
Defense Response To Fungus (GO:0050832),0.0750073805305754,7.449822485170219e-05,10.137984899765684,96.35886254576538,6/29,CX3CR1;CLEC4D;RNASE7;S100A12;NRG1;S100A9,GO_Biological_Process_2023,PBMC_up
Eye Morphogenesis (GO:0048592),0.0750073805305754,8.890641706508352e-05,13.858138873079112,129.26769716371743,5/19,FBN2;ALDH1A3;NIPBL;EFEMP1;COL5A2,GO_Biological_Process_2023,PBMC_up
PI3K-Akt signaling pathway,0.0897542138726258,0.0018458038231622,2.226584291656472,14.015992797340884,19/354,NTRK2;TNXB;IFNB1;BDNF;FN1;IGF2;FASLG;PPP2R3A;IL2RG;PRLR;EREG;FGF7;PDGFD;KIT;ERBB2;GNB3;ITGB8;IFNA10;CREB5,KEGG_2021_Human,PBMC_up
Olfactory transduction,0.0897542138726258,0.0020554400123502,2.069994574064026,12.80760567385984,22/440,SLC24A4;OR52J3;OR14A16;OR14J1;OR8K1;OR52E4;OR11H1;OR1L8;OR2H1;OR4K1;OR10T2;ARRB2;OR10Q1;OR52W1;GNAL;OR10V1;OR8B4;OR4D11;OR51B5;OR11A1;OR52A1;OR7D2,KEGG_2021_Human,PBMC_up
Allograft rejection,0.0966629344148362,0.0025825974843658,5.873475793794519,34.9998050233174,5/38,IFNG;PRF1;GZMB;FASLG;HLA-G,KEGG_2021_Human,PBMC_up
